,ad_id,location,price,title,room_count,project
25,1240633586,Cumhuriyet Mah.,"26,250,000 TL",SİNPAŞ QUEEN BOMONTİ VATANDAŞLIĞA UYGUN 1+1 KÖŞE KAPALI MUTFAK,1+1,SİNPAŞ
26,1215910275,Cumhuriyet Mah.,"6,000,000 TL",Şişli satılık daire,Studio Flat (1+0),
27,1080775759,Cumhuriyet Mah.,"11,000,000 TL",MEGA CITY'DEN KAZIM ORBAY ELYSİUM KARŞISI KISMİ EŞYALI SATILIK,3+1,
28,1247064400,Cumhuriyet Mah.,"38,180,000 TL",Anthill Residence Lüx Eşyalı Satılık 3+1 Daire 33.Kat,3+1,Anthill
29,1231367226,Cumhuriyet Mah.,"38,500,000 TL",Sinpaş Queen Bomonti Deniz ve Boğaz Manzaralı 3.5+1 Boş Satılık,3.5+1,SİNPAŞ
30,1235131542,Cumhuriyet Mah.,"9,500,000 TL","Bomonti'nin en güzel sokağında a'dan z'ye sıfırlanmış, 2.kat 3+1",3+1,
31,1233951624,Cumhuriyet Mah.,"19,500,000 TL",C21 OPTİMUM'DAN ANTHILL RESIDENCE'TA GENİŞ SATILIK 2+1 DAİRE !!!,2+1,Anthill
32,1226346619,Cumhuriyet Mah.,"19,600,000 TL",DİVAN RESİDENCE BOMONTİ 1+1 BOĞAZ CEPHE FULL MANZARALI SATILIK,1+1,Divan
33,1229615488,Cumhuriyet Mah.,"8,750,000 TL",Remax'dan The House Rezidans' da Muhteşem Stüdyo 1+0,Studio Flat (1+0),
34,1227474058,Cumhuriyet Mah.,"12,400,000 TL",ANTHİLL RESİDENCE 1+1 BOŞ KÖŞE DAİRE-SİNPAŞ -DİVAN-ŞİŞLİ,1+1,SİNPAŞ
35,1246920186,Cumhuriyet Mah.,"14,950,000 TL",BadaGate'ten istanbul göbeğinde şişli de satılık 3+1 daire,3+1,
36,1221978198,Cumhuriyet Mah.,"8,750,000 TL",Osmanbey İzzetpaşa Sokak'ta Tamamen Yenilenmiş 3+1 Satılık Daire,3+1,Normal Daire
37,1192596617,Cumhuriyet Mah.,"15,000,000 TL",Sinpaş Queen Satılık Havuz Cephe Balkonlu 1+1 Daire BOŞ,1+1,SİNPAŞ
38,1235269891,Cumhuriyet Mah.,"9,990,000 TL","DİVAN 1+1 FIRSAT EN İYİ FİYAT,,BOŞ DAİRE-BOMONTİ",1+1,Divan
39,1234852279,Cumhuriyet Mah.,"10,975,000 TL",BERRAK DENİZ ŞİŞLİ ÖZEL TASARIM 2+1 CADDE ÜSTÜ DAİRE BOŞ TESLİM,2+1,
40,1217577754,Cumhuriyet Mah.,"14,500,000 TL",Anthill Residence Fully Furnished Large 2+1 with 2 Bathrooms,2+1,Anthill
41,1164815577,Cumhuriyet Mah.,"18,500,000 TL",Sinpaş Queen Bomonti'de Adalar Manzaralı Büyük 2+1 Satılık,2+1,SİNPAŞ
42,1169710909,Cumhuriyet Mah.,"13,600,000 TL",Sinpaş Queen Bomonti'de Satılık 1+1 Balkonlu Daire,1+1,SİNPAŞ
43,1226403376,Cumhuriyet Mah.,"12,000,000 TL",BOMONTİ ANTİLL RESİDENCE 1+1 FIRSAT DAİRE,1+1,Anthill
44,1247155788,Cumhuriyet Mah.,"16,100,000 TL",ANTHILL RESİDENCE'TA SAHİBİNDEN SATILIK DAİRE,2+1,Anthill
45,1210656006,Cumhuriyet Mah.,"20,500,000 TL",PROPERTY TURKEY'DEN SİNPAŞ QUEEN BOMONTİ DE EŞYALI 2+1,2+1,SİNPAŞ
46,1234574911,Cumhuriyet Mah.,"7,700,000 TL",Sinpaş Queen Bomonti 1+0 Boş Satılık Daire - Anthill - Divan,Studio Flat (1+0),SİNPAŞ
47,1246747831,Cumhuriyet Mah.,"11,990,000 TL",SİNPAŞ QUEEN BOMONTİ 1+1 FULL EŞYALI HIGH FLOOR SATILIK,1+1,SİNPAŞ
48,1171956178,Cumhuriyet Mah.,"6,500,000 TL",ANTHİLL RESİDENCE KARŞISINDA SIFIR BİNADA 2+1 SATILIK DAİRE,2+1,Anthill
49,1246721870,Cumhuriyet Mah.,"16,000,000 TL",ANTHİLL RESIDENCE'TA SAHİBİNDEN SATILIK 2+1 REZİDANS,2+1,Anthill
0,1235272050,Cumhuriyet Mah.,"8,820,000 TL",THE HOUSE RESİDENCE FIRSAT DAİRE-BOMONTİ MERKEZDE,Studio Flat (1+0),
1,1246664036,Cumhuriyet Mah.,"8,750,000 TL",Sahibinden Satılık 2+1 130m2 Temiz- Güçlendirmeli,2+1,
2,1209330430,Cumhuriyet Mah.,"3,500,000 TL",BOMONTİADA VE RESIDENCES'LARA KOMŞU FIRSAT SATILIK DAİRE,1+1,
